Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000127989	MTERF1	7	91692008	91880702
ENSG00000175600	SUGCT	7	40135005	40860763
ENSG00000049883	PTCD2	5	72320367	72368395
ENSG00000116771	AGMAT	1	15571699	15585051
ENSG00000123600	METTL8	2	171315746	171434802
ENSG00000101546	RBFA	18	80034389	80050651
ENSG00000172992	DCAKD	17	45023338	45061131
ENSG00000185875	THNSL1	10	25016612	25026664
ENSG00000274853	MRM1	CHR_HSCHR17_7_CTG4	36602534	36609940
ENSG00000278619	MRM1	17	36601583	36608964
ENSG00000123815	COQ8B	19	40691514	40725784
ENSG00000087299	L2HGDH	14	50237563	50312229
ENSG00000188917	TRMT2B	X	101009346	101052116
ENSG00000133943	DGLUCY	14	91060333	91225632
ENSG00000089060	SLC8B1	12	113298759	113359493
ENSG00000125779	PANK2	20	3888839	3929887
ENSG00000140451	PIF1	15	64815632	64825668
ENSG00000148334	PTGES2	9	128120693	128128462
ENSG00000278372	MYO19	CHR_HSCHR17_7_CTG4	36496005	36543807
ENSG00000278259	MYO19	17	36495636	36543435
ENSG00000125741	OPA3	19	45527767	45602212
ENSG00000115520	COQ10B	2	197453493	197475310
ENSG00000167107	ACSF2	17	50426158	50474845
ENSG00000143374	TARS2	1	150487414	150507602
ENSG00000151413	NUBPL	14	31489956	31861224
ENSG00000109519	GRPEL1	4	7058671	7068085
ENSG00000120832	MTERF2	12	106977277	106987160
ENSG00000115468	EFHD1	2	232606057	232682776
ENSG00000160688	FLAD1	1	154983338	154993111
ENSG00000153820	SPHKAP	2	227979955	228181687
ENSG00000177192	PUS1	12	131929200	131945896
ENSG00000122912	SLC25A16	10	68477998	68527523
ENSG00000068120	COASY	17	42561467	42566277
ENSG00000110435	PDHX	11	34915829	35020591
ENSG00000111271	ACAD10	12	111686053	111757107
ENSG00000144120	TMEM177	2	119679167	119686507
ENSG00000103018	CYB5B	16	69398402	69466264
ENSG00000164933	SLC25A32	8	103398635	103415189
ENSG00000274523	RCC1L	7	75027122	75074228
ENSG00000162129	CLPB	11	72285495	72434680
ENSG00000121057	AKAP1	17	57085092	57121346
ENSG00000135070	ISCA1	9	86264546	86283102
ENSG00000107819	SFXN3	10	101031234	101041241
ENSG00000180185	FAHD1	16	1826967	1840207
ENSG00000213339	QTRT1	19	10701430	10713437
ENSG00000119705	SLIRP	14	77708071	77761104
ENSG00000155287	SLC25A28	10	99610519	99622793
ENSG00000125656	CLPP	19	6361531	6370242
ENSG00000119431	HDHD3	9	113373419	113376986
ENSG00000160221	GATD3	21	44133610	44210114
ENSG00000178605	GTPBP6	X	304529	318796
ENSG00000151475	SLC25A31	4	127730400	127774292
ENSG00000106077	ABHD11	7	73736094	73738852
ENSG00000164305	CASP3	4	184627696	184650062
ENSG00000073169	SELENOO	22	50201011	50217616
ENSG00000103160	HSDL1	16	84122141	84145192
ENSG00000182902	SLC25A18	22	17563450	17590995
ENSG00000282813	ARMC10	CHR_HSCHR7_1_CTG4_4	103086630	103099764
ENSG00000170632	ARMC10	7	103074881	103099759
ENSG00000160072	ATAD3B	1	1471765	1497848
ENSG00000197580	BCO2	11	112175510	112224699
ENSG00000184903	IMMP2L	7	110662644	111562517
ENSG00000108528	SLC25A11	17	4937130	4940053
ENSG00000064012	CASP8	2	201233443	201361836
ENSG00000132570	PCBD2	5	134905120	135007959
ENSG00000240303	ACAD11	3	132558138	132660082
ENSG00000158882	TOMM40L	1	161225939	161230746
ENSG00000132906	CASP9	1	15490832	15526534
ENSG00000171202	TMEM126A	11	85647967	85656547
ENSG00000119471	HSDL2	9	112380080	112472405
ENSG00000125652	ALKBH7	19	6372794	6375250
ENSG00000125611	CHCHD5	2	112584240	112589275
ENSG00000084092	NOA1	4	56963350	56977606
ENSG00000110871	COQ5	12	120503279	120534434
ENSG00000171612	SLC25A33	1	9539465	9585173
ENSG00000176410	DNAJC30	7	73680918	73683453
ENSG00000122378	PRXL2A	10	80407829	80437115
ENSG00000137288	UQCC2	6	33694293	33711727
ENSG00000159685	CHCHD6	3	126704240	126960420
ENSG00000277936	MRPL45	CHR_HSCHR17_7_CTG4	38097522	38123634
ENSG00000278845	MRPL45	17	38297023	38323217
ENSG00000172366	MCRIP2	16	636817	648474
ENSG00000256053	COA8	14	103562960	103607523
ENSG00000164347	GFM2	5	74721206	74767147
ENSG00000166920	C15orf48	15	45430579	45448761
ENSG00000154930	ACSS1	20	25006230	25058980
ENSG00000055950	MRPL43	10	100969458	100987515
ENSG00000110455	ACCS	11	44065925	44084237
ENSG00000137133	HINT2	9	35812960	35815354
ENSG00000124370	MCEE	2	71109684	71130239
ENSG00000121691	CAT	11	34438934	34472060
ENSG00000131055	COX4I2	20	31637912	31645006
ENSG00000130299	GTPBP3	19	17334920	17342731
ENSG00000166123	GPT2	16	46884362	46931289
ENSG00000137463	MGARP	4	139266165	139280225
ENSG00000135093	USP30	12	109023089	109088023
ENSG00000254858	MPV17L2	19	18193218	18196948
ENSG00000130347	RTN4IP1	6	106570771	106629498
ENSG00000173915	ATP5MK	10	103389041	103396492
ENSG00000186603	HPDL	1	45326895	45328710
ENSG00000145439	CBR4	4	168863770	169010275
ENSG00000165526	RPUSD4	11	126202096	126211692
ENSG00000042286	AIFM2	10	70098223	70132934
ENSG00000148343	MIGA2	9	129036621	129072082
ENSG00000283024	ATAD1	CHR_HG2334_PATCH	87751512	87841343
ENSG00000138138	ATAD1	10	87751512	87841361
ENSG00000121289	CEP89	19	32875925	32971991
ENSG00000035141	FAM136A	2	70295976	70302067
ENSG00000122335	SERAC1	6	158109519	158168280
ENSG00000178449	COX14	12	50112082	50120457
ENSG00000184117	NIPSNAP1	22	29554808	29581327
ENSG00000168827	GFM1	3	158644527	158695581
ENSG00000117009	KMO	1	241532134	241595642
ENSG00000053371	AKR7A2	1	19303965	19312144
ENSG00000105793	GTPBP10	7	90335223	90391453
ENSG00000115840	SLC25A12	2	171783405	171999859
ENSG00000159423	ALDH4A1	1	18871430	18902724
ENSG00000138035	PNPT1	2	55634061	55693863
ENSG00000159231	CBR3	21	36135079	36146562
ENSG00000131779	PEX11B	1	145911350	145918717
ENSG00000172340	SUCLG2	3	67360460	67654612
ENSG00000163541	SUCLG1	2	84423528	84460045
ENSG00000136143	SUCLA2	13	47745736	48037968
ENSG00000178307	TMEM11	17	21197954	21214176
ENSG00000100601	ALKBH1	14	77672404	77708023
ENSG00000183032	SLC25A21	14	36677921	37172606
ENSG00000140983	RHOT2	16	668100	674174
ENSG00000102078	SLC25A14	X	130339888	130373361
ENSG00000179271	GADD45GIP1	19	12953119	12957223
ENSG00000244005	NFS1	20	35668052	35699355
ENSG00000156026	MCU	10	72692143	72887694
ENSG00000142444	TIMM29	19	10928811	10933535
ENSG00000186687	LYRM7	5	131170944	131205428
ENSG00000240230	COX19	7	898778	975549
ENSG00000174606	ANGEL2	1	212992182	213015867
ENSG00000137038	DMAC1	9	7796500	7888380
ENSG00000276726	DNAJA3	CHR_HSCHR16_3_CTG1	4427764	4458734
ENSG00000103423	DNAJA3	16	4425805	4456775
ENSG00000133597	ADCK2	7	140672945	140696261
ENSG00000164209	SLC25A46	5	110738136	110765161
ENSG00000156709	AIFM1	X	130124666	130165879
ENSG00000262145	ATP23	CHR_HSCHR12_1_CTG2_1	57941541	57957269
ENSG00000166896	ATP23	12	57906039	57959148
ENSG00000130921	MTRFR	12	123233385	123258079
ENSG00000171953	ATPAF2	17	17977409	18039209
ENSG00000115944	COX7A2L	2	42333546	42425088
ENSG00000274112	SMDT1	CHR_HSCHR22_3_CTG1	42079691	42084284
ENSG00000272835	SMDT1	CHR_HSCHR22_2_CTG1	42079691	42084284
ENSG00000272901	SMDT1	CHR_HSCHR22_1_CTG1	42079691	42124100
ENSG00000183172	SMDT1	22	42079691	42084284
ENSG00000164182	NDUFAF2	5	60945177	61154531
ENSG00000122696	SLC25A51	9	37879400	37904353
ENSG00000154814	OXNAD1	3	16265160	16350299
ENSG00000148824	MTG1	10	133394094	133422520
ENSG00000278461	MRPS36	CHR_HSCHR5_2_CTG1_1	69217760	69230127
ENSG00000134056	MRPS36	5	69217760	69230158
ENSG00000136270	TBRG4	7	45100100	45112047
ENSG00000148187	MRRF	9	122264603	122331337
ENSG00000171989	LDHAL6B	15	59206843	59208588
ENSG00000105197	TIMM50	19	39480412	39493785
ENSG00000125871	MGME1	20	17969018	17991122
ENSG00000247626	MARS2	2	197705369	197708395
ENSG00000135469	COQ10A	12	56266890	56270966
ENSG00000099940	SNAP29	22	20859007	20891214
ENSG00000196365	LONP1	19	5691834	5720572
ENSG00000178741	COX5A	15	74919791	74938083
ENSG00000137106	GRHPR	9	37422666	37436990
ENSG00000285390	ATP5IF1	CHR_HSCHR1_8_CTG3	28236109	28246906
ENSG00000130770	ATP5IF1	1	28236109	28246906
ENSG00000160957	RECQL4	8	144511288	144517845
ENSG00000181867	FTMT	5	121851882	121852833
ENSG00000164466	SFXN1	5	175477062	175529742
ENSG00000144040	SFXN5	2	72942036	73075619
ENSG00000100151	PICK1	22	38056311	38075701
ENSG00000153291	SLC25A27	6	46652915	46678190
ENSG00000087157	PGS1	17	78378649	78425114
ENSG00000105819	PMPCB	7	103297407	103331818
ENSG00000100596	SPTLC2	14	77505997	77616637
ENSG00000241468	ATP5MF	7	99448475	99466186
ENSG00000243147	MRPL33	2	27771717	27988087
ENSG00000156411	ATP5MJ	14	103912288	103928269
ENSG00000138078	PREPL	2	44316281	44361862
ENSG00000117592	PRDX6	1	173477330	173488815
ENSG00000120662	MTRF1	13	41216369	41263577
ENSG00000066855	MTFR1	8	65644734	65771261
ENSG00000160785	SLC25A44	1	156193932	156212796
ENSG00000100890	PRORP	14	35121846	35277622
ENSG00000258790		14	35122549	35317474
ENSG00000115364	MRPL19	2	75646783	75690851
ENSG00000173726	TOMM20	1	235109341	235128837
ENSG00000081791	DELE1	5	141923855	141942047
ENSG00000184867	ARMCX2	X	101655281	101659850
ENSG00000154174	TOMM70	3	100363431	100401089
ENSG00000116688	MFN2	1	11980181	12015211
ENSG00000157036	EXOG	3	38496127	38542161
ENSG00000284194	SCO2	22	50523568	50526461
ENSG00000230623     1   200330284   200481578
